,partition
2756,1338
2757,1248
2758,2068
2759,1439
2760,1393
2761,2598
2762,2096
2763,2160
2764,121
2765,1249
2766,2526
2767,1
2768,1250
2769,108
2770,2559
2771,561
2772,15
2773,2560
2774,2561
2775,163
2776,2811
2777,2608
2778,2562
2779,2563
2780,2564
2781,2565
2782,2566
2783,2567
2784,41
2785,2568
2786,1259
2787,854
2788,855
2789,856
2790,857
2791,858
2792,859
2793,38
2794,860
2795,866
2796,1965
2797,861
2798,2
2799,1045
2800,863
2801,862
2802,1276
2803,1384
2804,814
2805,815
2806,816
2807,1335
2808,2512
2809,817
2810,818
2811,206
2812,850
2813,822
2814,819
2815,820
2816,2548
2817,1727
2818,2
2819,2452
2820,2071
2821,1565
2822,338
2823,32
2824,1566
2825,1567
2826,1568
2827,1569
2828,244
2829,1570
2830,1571
2831,1572
2832,1573
2833,1574
2834,913
2835,285
2836,816
2837,1482
2838,286
2839,287
2840,288
2841,434
2842,1603
2843,289
2844,119
2845,1015
2846,1680
2847,1071
2848,918
2849,908
2850,540
2851,16
2852,541
2853,1735
2854,10
2855,1595
2856,542
2857,1043
2858,2210
2859,2316
2860,543
2861,544
2862,47
2863,95
2864,1092
2865,1002
2866,2396
2867,2
2868,2397
2869,115
2870,744
2871,394
2872,2398
2873,2399
2874,429
2875,644
2876,2400
2877,155
2878,2401
2879,2402
2880,2403
2881,2404
2882,929
2883,61
2884,45
2885,721
2886,47
2887,33
2888,922
2889,2439
2890,355
2891,15
2892,225
2893,650
2894,61
2895,1091
2896,178
2897,102
2898,885
2899,454
2900,156
2901,604
2902,1229
2903,1040
2904,446
2905,649
2906,135
2907,1923
2908,187
2909,563
2910,373
2911,688
2912,686
2913,181
2914,1028
2915,39
2916,777
2917,778
2918,2540
2919,1502
2920,779
2921,780
2922,1088
2923,15
2924,1772
2925,2837
2926,781
2927,782
2928,2
2929,783
2930,1562
2931,47
2932,2704
2933,788
2934,179
2935,1358
2936,246
2937,180
2938,49
2939,15
2940,1426
2941,2
2942,18
2943,181
2944,1456
2945,543
2946,2
2947,2335
2948,2
2949,499
2950,2391
2951,500
2952,129
2953,501
2954,502
2955,503
2956,504
2957,2801
2958,44
2959,2215
2960,925
2961,2701
2962,483
2963,61
2964,551
2965,484
2966,2013
2967,194
2968,485
2969,2
2970,486
2971,487
2972,488
2973,2597
2974,1441
2975,1933
2976,489
2977,280
2978,2
2979,2177
2980,75
2981,2178
2982,5
2983,2179
2984,2180
2985,2181
2986,2182
2987,2183
2988,2
2989,2260
2990,2184
2991,15
2992,98
2993,2185
2994,1331
2995,201
2996,1332
2997,20
2998,2287
2999,1333
3000,1792
3001,1334
3002,1769
3003,2
3004,764
3005,1335
3006,1336
3007,1976
3008,1337
3009,1330
3010,1209
3011,687
3012,688
3013,2630
3014,1412
3015,1177
3016,689
3017,690
3018,1918
3019,834
3020,691
3021,1371
3022,1271
3023,988
3024,196
3025,1689
3026,2
3027,2120
3028,2508
3029,1872
3030,1873
3031,2571
3032,2
3033,30
3034,2626
3035,1875
3036,1
3037,51
3038,1876
3039,1877
3040,2239
3041,1874
3042,16
3043,1629
3044,324
3045,1062
3046,931
3047,371
3048,61
3049,2
3050,1421
3051,60
3052,462
3053,15
3054,39
3055,2
3056,2
3057,65
3058,1016
3059,397
3060,103
3061,2652
3062,169
3063,104
3064,105
3065,392
3066,106
3067,198
3068,107
3069,1998
3070,8
3071,310
3072,482
3073,1231
3074,1714
3075,1715
3076,1716
3077,1717
3078,1718
3079,1719
3080,2543
3081,2
3082,39
3083,1721
3084,1862
3085,980
3086,1877
3087,1722
3088,1723
3089,1720
3090,769
3091,2
3092,2657
3093,1474
3094,1475
3095,1476
3096,1477
3097,1478
3098,1479
3099,17
3100,2506
3101,2
3102,2
3103,2178
3104,1481
3105,1480
3106,2033
3107,102
3108,2034
3109,2035
3110,2036
3111,141
3112,2
3113,2
3114,569
3115,2037
3116,639
3117,2038
3118,2039
3119,2040
3120,1
3121,2493
3122,2180
3123,21
3124,368
3125,794
3126,60
3127,1278
3128,369
3129,341
3130,370
3131,2124
3132,1122
3133,1399
3134,1162
3135,1076
3136,2403
3137,1060
3138,196
3139,1066
3140,254
3141,2275
3142,1067
3143,1059
3144,2332
3145,1068
3146,110
3147,1069
3148,1509
3149,747
3150,1070
3151,1071
3152,1355
3153,2375
3154,104
3155,1419
3156,156
3157,1240
3158,2149
3159,157
3160,1679
3161,267
3162,16
3163,212
3164,1179
3165,68
3166,455
3167,2222
3168,2457
3169,158
3170,2555
3171,90
3172,8
3173,1094
3174,404
3175,845
3176,405
3177,406
3178,970
3179,2738
3180,81
3181,1
3182,407
3183,745
3184,734
3185,2483
3186,550
3187,226
3188,13
3189,619
3190,15
3191,1464
3192,1474
3193,2082
3194,2754
3195,61
3196,2183
3197,551
3198,2140
3199,15
3200,293
3201,2231
3202,1423
3203,15
3204,1815
3205,669
3206,260
3207,1755
3208,261
3209,262
3210,305
3211,503
3212,1586
3213,1786
3214,244
3215,263
3216,2637
3217,20
3218,104
3219,1742
3220,1744
3221,2
3222,15
3223,1745
3224,1746
3225,32
3226,1747
3227,436
3228,1748
3229,4
3230,2527
3231,1749
3232,1750
3233,1743
3234,31
3235,34
3236,281
3237,32
3238,1913
3239,33
3240,2246
3241,2773
3242,1383
3243,746
3244,34
3245,1734
3246,1745
3247,1451
3248,16
3249,2011
3250,15
3251,1185
3252,243
3253,2594
3254,650
3255,2
3256,1342
3257,1052
3258,16
3259,651
3260,652
3261,1865
3262,2656
3263,653
3264,2205
3265,138
3266,2
3267,2
3268,720
3269,910
3270,16
3271,1825
3272,752
3273,140
3274,883
3275,2591
3276,1086
3277,39
3278,1272
3279,736
3280,1390
3281,54
3282,1338
3283,1339
3284,1340
3285,1341
3286,1342
3287,1343
3288,4
3289,54
3290,1973
3291,1869
3292,40
3293,1344
3294,1
3295,1345
3296,1346
3297,1347
3298,1240
3299,1241
3300,145
3301,557
3302,1242
3303,1427
3304,122
3305,1243
3306,15
3307,1244
3308,1245
3309,313
3310,1246
3311,2536
3312,1247
3313,1151
3314,1827
3315,457
3316,1112
3317,1113
3318,1114
3319,1583
3320,15
3321,1115
3322,1116
3323,1117
3324,36
3325,60
3326,39
3327,1118
3328,1119
3329,1120
3330,840
3331,451
3332,623
3333,452
3334,15
3335,453
3336,580
3337,115
3338,39
3339,454
3340,41
3341,1291
3342,661
3343,2
3344,568
3345,548
3346,591
3347,1796
3348,2592
3349,756
3350,384
3351,714
3352,592
3353,1478
3354,189
3355,115
3356,2638
3357,593
3358,15
3359,2
3360,1824
3361,47
3362,2195
3363,772
3364,412
3365,1536
3366,413
3367,414
3368,32
3369,2
3370,437
3371,1139
3372,1141
3373,60
3374,1588
3375,2
3376,2036
3377,20
3378,1766
3379,1767
3380,15
3381,47
3382,2194
3383,1768
3384,1
3385,39
3386,190
3387,1769
3388,1770
3389,59
3390,983
3391,374
3392,2
3393,60
3394,11
3395,32
3396,15
3397,2662
3398,15
3399,2663
3400,2664
3401,2665
3402,2666
3403,2667
3404,2668
3405,16
3406,315
3407,16
3408,30
3409,15
3410,1935
3411,1936
3412,61
3413,1937
3414,288
3415,1938
3416,1939
3417,1217
3418,7
3419,2737
3420,2449
3421,4
3422,1940
3423,1036
3424,1941
3425,2382
3426,2317
3427,2318
3428,2319
3429,2320
3430,2321
3431,39
3432,2322
3433,2323
3434,2324
3435,33
3436,2325
3437,2326
3438,16
3439,115
3440,2447
3441,2
3442,2283
3443,30
3444,2530
3445,743
3446,1311
3447,572
3448,1463
3449,573
3450,33
3451,932
3452,218
3453,11
3454,16
3455,574
3456,2235
3457,1258
3458,2603
3459,39
3460,2604
3461,2605
3462,2606
3463,2
3464,194
3465,196
3466,221
3467,2607
3468,2608
3469,2
3470,2609
3471,289
3472,1828
3473,2
3474,2631
3475,1610
3476,1611
3477,1904
3478,1612
3479,1613
3480,2251
3481,216
3482,1614
3483,0
3484,1615
3485,2678
3486,1616
3487,16
3488,2030
3489,1617
3490,1015
3491,1016
3492,1017
3493,134
3494,1721
3495,214
3496,1018
3497,2
3498,1221
3499,15
3500,2038
3501,1376
3502,1681
3503,1020
3504,1021
3505,1019
3506,396
3507,906
3508,35
3509,36
3510,1337
3511,2
3512,670
3513,1155
3514,37
3515,2074
3516,38
3517,695
3518,2188
3519,578
3520,779
3521,1325
3522,945
3523,1730
3524,1135
3525,16
3526,2708
3527,68
3528,138
3529,1997
3530,1731
3531,273
3532,2
3533,39
3534,1732
3535,2654
3536,144
3537,1733
3538,431
3539,32
3540,2114
3541,586
3542,122
3543,432
3544,717
3545,51
3546,51
3547,433
3548,434
3549,280
3550,934
3551,1996
3552,51
3553,435
3554,137
3555,2655
3556,765
3557,881
3558,2020
3559,2221
3560,2
3561,2783
3562,2141
3563,1530
3564,138
3565,1567
3566,391
3567,1425
3568,21
3569,897
3570,598
3571,270
3572,343
3573,803
3574,25
3575,1059
3576,171
3577,1368
3578,1217
3579,450
3580,1491
3581,574
3582,1037
3583,5
3584,183
3585,758
3586,756
3587,1519
3588,15
3589,2241
3590,1950
3591,817
3592,757
3593,758
3594,218
3595,2
3596,759
3597,760
3598,39
3599,26
3600,761
3601,1764
3602,2103
3603,516
3604,2588
3605,2164
3606,55
3607,1057
3608,851
3609,56
3610,57
3611,51
3612,433
3613,58
3614,2535
3615,928
3616,59
3617,795
3618,1455
3619,959
3620,2450
3621,2129
3622,88
3623,292
3624,280
3625,293
3626,1656
3627,294
3628,32
3629,260
3630,102
3631,2135
3632,1597
3633,2
3634,641
3635,2
3636,1102
3637,391
3638,392
3639,393
3640,2392
3641,394
3642,2
3643,876
3644,472
3645,395
3646,2
3647,2
3648,1980
3649,521
3650,2165
3651,2166
3652,2167
3653,2168
3654,2556
3655,2169
3656,2170
3657,65
3658,2171
3659,2172
3660,2173
3661,2358
3662,2174
3663,2175
3664,2176
3665,33
3666,459
3667,1297
3668,2
3669,919
3670,839
3671,761
3672,1380
3673,39
3674,492
3675,231
3676,1627
3677,1663
3678,588
3679,216
3680,2161
3681,2
3682,243
3683,2158
3684,1090
3685,0
3686,441
3687,4
3688,2
3689,1113
3690,442
3691,458
3692,555
3693,443
3694,447
3695,444
3696,2441
3697,240
3698,2646
3699,609
3700,1540
3701,2616
3702,176
3703,1227
3704,610
3705,376
3706,43
3707,1854
3708,1994
3709,92
3710,930
3711,611
3712,612
3713,15
3714,1949
3715,115
3716,257
3717,2281
3718,1950
3719,51
3720,739
3721,60
3722,1951
3723,1952
3724,1953
3725,1954
3726,2717
3727,796
3728,2023
3729,2532
3730,1022
3731,2003
3732,1023
3733,2
3734,1024
3735,1145
3736,38
3737,116
3738,1549
3739,1203
3740,1025
3741,1026
3742,1027
3743,1028
3744,1945
3745,16
3746,803
3747,47
3748,2767
3749,2
3750,1555
3751,2768
3752,8
3753,2769
3754,414
3755,2770
3756,1928
3757,2771
3758,2772
3759,2
3760,2773
3761,1491
3762,864
3763,962
3764,865
3765,2634
3766,10
3767,606
3768,15
3769,866
3770,867
3771,1176
3772,868
3773,869
3774,1617
3775,15
3776,1652
3777,870
3778,1781
3779,1
3780,101
3781,19
3782,20
3783,1649
3784,700
3785,786
3786,167
3787,871
3788,2
3789,2536
3790,2248
3791,836
3792,22
3793,21
3794,2721
3795,115
3796,2722
3797,47
3798,2723
3799,2724
3800,37
3801,2725
3802,2
3803,2727
3804,2728
3805,49
3806,2729
3807,2730
3808,2731
3809,2726
3810,1619
3811,2398
3812,2186
3813,15
3814,60
3815,2187
3816,264
3817,2188
3818,15
3819,2253
3820,2189
3821,1921
3822,4
3823,2190
3824,15
3825,2191
3826,179
3827,402
3828,71
3829,675
3830,319
3831,994
3832,631
3833,2019
3834,682
3835,5
3836,981
3837,6
3838,7
3839,161
3840,2405
3841,556
3842,1429
3843,801
3844,802
3845,803
3846,81
3847,804
3848,1336
3849,1568
3850,1118
3851,2351
3852,1206
3853,938
3854,115
3855,2267
3856,805
3857,1943
3858,1105
3859,4
3860,762
3861,244
3862,61
3863,1121
3864,2
3865,2242
3866,1953
3867,1314
3868,61
3869,763
3870,65
3871,764
3872,765
3873,2264
3874,2551
3875,2023
3876,769
3877,2024
3878,2025
3879,2421
3880,2026
3881,2027
3882,47
3883,15
3884,116
3885,2028
3886,2029
3887,2030
3888,2031
3889,2032
3890,1316
3891,2703
3892,1317
3893,2624
3894,1318
3895,1643
3896,2
3897,2
3898,1525
3899,1319
3900,337
3901,115
3902,2536
3903,2
3904,1320
3905,830
3906,1942
3907,808
3908,605
3909,1943
3910,1944
3911,1451
3912,1945
3913,1946
3914,1947
3915,2507
3916,1958
3917,103
3918,1618
3919,2833
3920,2
3921,1948
3922,1059
3923,336
3924,1060
3925,15
3926,1061
3927,1062
3928,2789
3929,122
3930,1063
3931,1064
3932,2517
3933,2446
3934,196
3935,1065
3936,1
3937,2420
3938,114
3939,1592
3940,17
3941,1593
3942,1594
3943,2190
3944,831
3945,2175
3946,1595
3947,60
3948,13
3949,1451
3950,2
3951,194
3952,1596
3953,15
3954,1955
3955,1956
3956,2
3957,38
3958,1957
3959,15
3960,1958
3961,1959
3962,240
3963,1960
3964,60
3965,663
3966,1961
3967,1962
3968,12
3969,2621
3970,51
3971,245
3972,2786
3973,2
3974,2787
3975,2788
3976,17
3977,2789
3978,15
3979,337
3980,348
3981,1
3982,2791
3983,2792
3984,176
3985,2790
3986,1575
3987,115
3988,1576
3989,2095
3990,2127
3991,1577
3992,557
3993,2123
3994,1578
3995,1579
3996,240
3997,1580
3998,1581
3999,2
4000,4
4001,1582
4002,1408
4003,1409
4004,1410
4005,1582
4006,2
4007,1411
4008,2444
4009,1640
4010,2454
4011,1412
4012,1332
4013,1413
4014,365
4015,2765
4016,1414
4017,2456
4018,42
4019,81
4020,26
4021,163
4022,622
4023,194
4024,125
4025,10
4026,116
4027,557
4028,254
4029,49
4030,99
4031,119
4032,257
4033,293
4034,15
4035,1782
4036,1783
4037,1784
4038,1785
4039,1786
4040,1787
4041,15
4042,2659
4043,57
4044,1788
4045,1789
4046,2
4047,2720
4048,1790
4049,1791
4050,2402
4051,15
4052,133
4053,2780
4054,2567
4055,134
4056,129
4057,19
4058,1548
4059,2
4060,2615
4061,103
4062,135
4063,136
4064,960
4065,2453
4066,15
4067,368
4068,2494
4069,1152
4070,2142
4071,15
4072,288
4073,1153
4074,1061
4075,2618
4076,1154
4077,1155
4078,1156
4079,1731
4080,1157
4081,1920
4082,1808
4083,1809
4084,1810
4085,1811
4086,123
4087,560
4088,1812
4089,30
4090,1
4091,76
4092,2
4093,1813
4094,2174
4095,546
4096,2
4097,2474
4098,637
4099,638
4100,639
4101,227
4102,640
4103,2282
4104,2
4105,1003
4106,849
4107,1246
4108,641
4109,1
4110,642
4111,643
4112,644
4113,18
4114,1346
4115,2635
4116,194
4117,715
4118,2371
4119,2
4120,716
4121,835
4122,717
4123,778
4124,42
4125,718
4126,1630
4127,869
4128,719
4129,720
4130,176
4131,2599
4132,131
4133,1374
4134,356
4135,357
4136,2407
4137,358
4138,359
4139,1124
4140,1713
4141,676
4142,2078
4143,360
4144,2627
4145,81
4146,2492
4147,2400
4148,117
4149,517
4150,2331
4151,139
4152,358
4153,140
4154,508
4155,1941
4156,1842
4157,41
4158,108
4159,479
4160,1991
4161,879
4162,197
4163,445
4164,593
4165,461
4166,347
4167,216
4168,73
4169,457
4170,980
4171,22
4172,644
4173,288
4174,769
4175,180
4176,3
4177,409
4178,2287
4179,2288
4180,2289
4181,15
4182,2388
4183,2290
4184,2291
4185,393
4186,1687
4187,2292
4188,2293
4189,33
4190,2294
4191,604
4192,2295
4193,1
4194,907
4195,908
4196,909
4197,910
4198,2279
4199,911
4200,2085
4201,912
4202,2144
4203,2
4204,913
4205,914
4206,1372
4207,293
4208,1123
4209,1268
4210,679
4211,729
4212,2673
4213,2154
4214,829
4215,2321
4216,824
4217,94
4218,61
4219,95
4220,96
4221,15
4222,97
4223,2665
4224,730
4225,10
4226,2296
4227,2297
4228,2298
4229,176
4230,2299
4231,2
4232,2
4233,2300
4234,2301
4235,2302
4236,16
4237,2303
4238,4
4239,2304
4240,968
4241,16
4242,1578
4243,324
4244,2308
4245,1843
4246,325
4247,1119
4248,257
4249,326
4250,30
4251,327
4252,898
4253,2831
4254,514
4255,1564
4256,328
4257,705
4258,1845
4259,2466
4260,1846
4261,1847
4262,2755
4263,647
4264,1848
4265,1849
4266,1850
4267,39
4268,1851
4269,1852
4270,1853
4271,2092
4272,1492
4273,1854
4274,1199
4275,2153
4276,1007
4277,738
4278,455
4279,467
4280,60
4281,1146
4282,456
4283,2513
4284,2277
4285,2674
4286,457
4287,1966
4288,2339
4289,1952
4290,678
4291,469
4292,1056
4293,921
4294,2399
4295,470
4296,471
4297,1137
4298,802
4299,20
4300,1448
4301,2
4302,472
4303,38
4304,44
4305,49
4306,42
4307,385
4308,1929
4309,354
4310,417
4311,408
4312,0
4313,109
4314,1760
4315,13
4316,1956
4317,110
4318,111
4319,297
4320,108
4321,907
4322,2
4323,15
4324,678
4325,33
4326,679
4327,680
4328,2084
4329,681
4330,2804
4331,682
4332,1186
4333,683
4334,1235
4335,1700
4336,1
4337,684
4338,2230
4339,119
4340,1588
4341,0
4342,2
4343,1589
4344,1590
4345,2122
4346,1591
4347,1823
4348,1
4349,15
4350,2
4351,2
4352,1451
4353,2
4354,1068
4355,1670
4356,2
4357,182
4358,183
4359,2
4360,184
4361,185
4362,90
4363,1451
4364,39
4365,215
4366,186
4367,1
4368,1747
4369,1847
4370,489
4371,1136
4372,132
4373,166
4374,67
4375,656
4376,525
4377,585
4378,90
4379,126
4380,233
4381,535
4382,808
4383,221
4384,394
4385,685
4386,23
4387,1622
4388,2217
4389,312
4390,24
4391,2538
4392,1672
4393,28
4394,1207
4395,25
4396,52
4397,478
4398,2291
4399,2156
4400,2249
4401,26
4402,2
4403,1886
4404,621
4405,622
4406,269
4407,623
4408,624
4409,1457
4410,902
4411,2
4412,1508
4413,625
4414,1112
4415,450
4416,2480
4417,2377
4418,157
4419,242
4420,326
4421,348
4422,350
4423,223
4424,105
4425,1224
4426,502
4427,307
4428,1828
4429,74
4430,1555
4431,916
4432,62
4433,121
4434,593
4435,2
4436,1802
4437,2448
4438,4
4439,32
4440,2669
4441,21
4442,1803
4443,2
4444,1804
4445,1805
4446,1806
4447,1857
4448,4
4449,1807
4450,787
4451,1166
4452,1808
4453,2
4454,1326
4455,915
4456,692
4457,644
4458,1538
4459,693
4460,461
4461,694
4462,1140
4463,695
4464,696
4465,233
4466,848
4467,196
4468,1022
4469,2653
4470,1401
4471,115
4472,1468
4473,849
4474,850
4475,16
4476,2243
4477,1783
4478,851
4479,852
4480,338
4481,853
4482,201
4483,1626
4484,1627
4485,1628
4486,220
4487,1629
4488,1630
4489,1631
4490,2042
4491,1632
4492,11
4493,538
4494,1633
4495,83
4496,1634
4497,73
4498,13
4499,240
4500,1402
4501,95
4502,47
4503,1403
4504,1404
4505,1405
4506,4
4507,1406
4508,17
4509,39
4510,2093
4511,2431
4512,1407
4513,15
4514,747
4515,1499
4516,208
4517,383
4518,1921
4519,64
4520,697
4521,291
4522,76
4523,341
4524,214
4525,349
4526,139
4527,404
4528,79
4529,617
4530,38
4531,1304
4532,2
4533,630
4534,1190
4535,2795
4536,566
4537,86
4538,467
4539,1098
4540,511
4541,468
4542,1029
4543,1005
4544,989
4545,345
4546,17
4547,2
4548,257
4549,2260
4550,2836
4551,2261
4552,2262
4553,2263
4554,2264
4555,2265
4556,2266
4557,8
4558,2267
4559,2268
4560,2269
4561,2270
4562,1814
4563,1815
4564,219
4565,2582
4566,2056
4567,1816
4568,1817
4569,90
4570,1818
4571,949
4572,2
4573,349
4574,2698
4575,194
4576,1
4577,1819
4578,38
4579,30
4580,16
4581,2
4582,92
4583,2
4584,1832
4585,4
4586,416
4587,1017
4588,241
4589,177
4590,895
4591,379
4592,841
4593,93
4594,1135
4595,1424
4596,193
4597,1573
4598,1928
4599,59
4600,621
4601,1157
4602,790
4603,184
4604,368
4605,534
4606,969
4607,152
4608,149
4609,639
4610,1891
4611,2695
4612,1665
4613,2
4614,15
4615,8
4616,1666
4617,15
4618,15
4619,1667
4620,2593
4621,1668
4622,2830
4623,1669
4624,1670
4625,2333
4626,2405
4627,2406
4628,2407
4629,2464
4630,2785
4631,2408
4632,2409
4633,16
4634,2410
4635,2411
4636,2412
4637,163
4638,2413
4639,32
4640,2414
4641,2415
4642,1520
4643,656
4644,1353
4645,1354
4646,1355
4647,2
4648,1356
4649,2721
4650,1357
4651,1358
4652,1359
4653,81
4654,1937
4655,47
4656,1360
4657,1361
4658,29
4659,131
4660,1036
4661,1100
4662,192
4663,1534
4664,595
4665,614
4666,325
4667,234
4668,1619
4669,522
4670,569
4671,983
4672,83
4673,12
4674,32
4675,378
4676,1982
4677,1983
4678,1984
4679,95
4680,2574
4681,47
4682,1985
4683,1986
4684,1987
4685,15
4686,1988
4687,1989
4688,233
4689,1990
4690,125
4691,16
4692,60
4693,1516
4694,1432
4695,15
4696,2651
4697,1433
4698,2644
4699,65
4700,18
4701,2585
4702,2201
4703,60
4704,945
4705,1434
4706,38
4707,37
4708,244
4709,17
4710,2536
4711,102
4712,196
4713,68
4714,43
4715,374
4716,176
4717,138
4718,41
4719,18
4720,104
4721,110
4722,933
4723,1498
4724,243
4725,1
4726,2055
4727,395
4728,244
4729,1880
4730,245
4731,2343
4732,1099
4733,246
4734,9
4735,247
4736,321
4737,366
4738,123
4739,1169
4740,755
4741,1936
4742,1594
4743,1449
4744,1172
4745,115
4746,244
4747,1174
4748,1175
4749,1176
4750,1170
4751,1171
4752,51
4753,1173
4754,2360
4755,2362
4756,2363
4757,2364
4758,2365
4759,2366
4760,51
4761,2367
4762,2368
4763,2369
4764,291
4765,102
4766,2370
4767,15
4768,2361
4769,1598
4770,2774
4771,2775
4772,2776
4773,2777
4774,2778
4775,2779
4776,2780
4777,621
4778,2781
4779,29
4780,18
4781,2782
4782,2783
4783,2784
4784,4
4785,2785
4786,546
4787,153
4788,1598
4789,130
4790,294
4791,209
4792,405
4793,133
4794,206
4795,780
4796,112
4797,884
4798,85
4799,276
4800,744
4801,6
4802,1397
4803,43
4804,1768
4805,15
4806,1912
4807,1398
4808,1399
4809,1157
4810,2
4811,1400
4812,2
4813,1401
4814,2735
4815,374
4816,2791
4817,51
4818,226
4819,114
4820,1195
4821,1492
4822,54
4823,155
4824,45
4825,21
4826,46
4827,538
4828,429
4829,561
4830,36
4831,243
4832,14
4833,35
4834,2690
4835,15
4836,61
4837,122
4838,2691
4839,60
4840,2692
4841,2
4842,2693
4843,8
4844,2694
4845,2
4846,2695
4847,2696
4848,63
4849,2697
4850,1543
4851,1544
4852,1545
4853,1546
4854,39
4855,1547
4856,2
4857,1548
4858,1549
4859,1550
4860,1580
4861,138
4862,2426
4863,1552
4864,61
4865,1551
4866,16
4867,501
4868,69
4869,2587
4870,972
4871,70
4872,2661
4873,60
4874,25
4875,137
4876,2203
4877,53
4878,3
4879,1395
4880,68
4881,128
4882,1662
4883,1581
4884,307
4885,1922
4886,1106
4887,32
4888,119
4889,1443
4890,1444
4891,1445
4892,1446
4893,1447
4894,1448
4895,1449
4896,1442
4897,2257
4898,116
4899,1360
4900,773
4901,561
4902,562
4903,963
4904,1254
4905,2467
4906,964
4907,563
4908,861
4909,564
4910,565
4911,566
4912,567
4913,2516
4914,2057
4915,2058
4916,2213
4917,2060
4918,405
4919,2536
4920,1040
4921,15
4922,244
4923,2
4924,2270
4925,26
4926,404
4927,2062
4928,2059
4929,2061
4930,495
4931,2666
4932,274
4933,1323
4934,219
4935,2436
4936,220
4937,2692
4938,1788
4939,2
4940,1554
4941,1322
4942,1408
4943,221
4944,2484
4945,785
4946,2433
4947,2435
4948,2436
4949,51
4950,2437
4951,2438
4952,2439
4953,1598
4954,2440
4955,2441
4956,2442
4957,51
4958,233
4959,4
4960,2443
4961,2434
4962,780
4963,2327
4964,278
4965,2329
4966,4
4967,32
4968,2330
4969,2
4970,2331
4971,1350
4972,15
4973,2609
4974,2332
4975,2333
4976,2334
4977,2328
4978,2326
4979,1006
4980,1117
4981,2024
4982,1798
4983,15
4984,2348
4985,1007
4986,2
4987,1544
4988,192
4989,2487
4990,102
4991,2465
4992,38
4993,1577
4994,505
4995,506
4996,1239
4997,2401
4998,1633
4999,1198
5000,38
5001,2386
5002,1574
5003,1264
5004,507
5005,508
5006,848
5007,509
5008,142
5009,550
5010,2808
5011,2
5012,2
5013,2606
5014,2063
5015,2064
5016,2065
5017,2
5018,15
5019,2066
5020,2067
5021,2068
5022,1
5023,2070
5024,374
5025,2069
5026,773
5027,774
5028,32
5029,1382
5030,65
5031,1
5032,775
5033,123
5034,1451
5035,15
5036,1315
5037,776
5038,13
5039,990
5040,37
5041,1552
5042,2
5043,1513
5044,1259
5045,1260
5046,1261
5047,1743
5048,1955
5049,884
5050,1841
5051,165
5052,1262
5053,2
5054,1263
5055,33
5056,15
5057,2039
5058,831
5059,737
5060,2
5061,832
5062,833
5063,1930
5064,136
5065,834
5066,2008
5067,835
5068,2
5069,127
5070,836
5071,1247
5072,837
5073,2658
5074,2393
5075,2
5076,1579
5077,15
5078,2
5079,1230
5080,1231
5081,1362
5082,1232
5083,30
5084,1233
5085,557
5086,1234
5087,2649
5088,1235
5089,2784
5090,1524
5091,694
5092,1446
5093,1357
5094,53
5095,428
5096,194
5097,1894
5098,16
5099,1716
5100,1023
5101,4
5102,114
5103,176
5104,890
5105,195
5106,519
5107,766
5108,900
5109,196
5110,806
5111,197
5112,2155
5113,198
5114,1187
5115,103
5116,247
5117,199
5118,533
5119,2497
5120,104
5121,2066
5122,229
5123,2536
5124,2
5125,882
5126,115
5127,200
5128,2
5129,573
5130,2232
5131,316
5132,1896
5133,2743
5134,201
5135,30
5136,2
5137,197
5138,68
5139,2470
5140,2
5141,1928
5142,1929
5143,1930
5144,1059
5145,39
5146,2031
5147,1931
5148,1932
5149,2193
5150,15
5151,1933
5152,2792
5153,1934
5154,1641
5155,187
5156,1642
5157,1644
5158,1645
5159,57
5160,1646
5161,89
5162,1647
5163,69
5164,15
5165,1648
5166,1649
5167,1650
5168,2705
5169,1643
5170,1451
5171,1963
5172,1904
5173,54
5174,1905
5175,153
5176,1906
5177,1907
5178,1909
5179,1491
5180,4
5181,1910
5182,1911
5183,1912
5184,345
5185,1908
5186,378
5187,2
5188,244
5189,499
5190,219
5191,1348
5192,2545
5193,2
5194,379
5195,1625
5196,2731
5197,57
5198,373
5199,380
5200,1593
5201,1938
5202,399
5203,0
5204,400
5205,2629
5206,123
5207,2136
5208,32
5209,584
5210,401
5211,424
5212,402
5213,399
5214,2522
5215,1800
5216,15
5217,403
5218,1528
5219,999
5220,1000
5221,16
5222,1001
5223,1002
5224,1003
5225,2756
5226,24
5227,15
5228,1004
5229,1005
5230,1710
5231,996
5232,38
5233,1529
5234,871
5235,920
5236,2
5237,1274
5238,1210
5239,2479
5240,801
5241,2455
5242,872
5243,1262
5244,2
5245,873
5246,38
5247,1367
5248,4
5249,2146
5250,1863
5251,244
5252,1864
5253,16
5254,944
5255,1865
5256,2742
5257,317
5258,1866
5259,1867
5260,1868
5261,1869
5262,2049
5263,1870
5264,1871
5265,2318
5266,240
5267,33
5268,1779
5269,33
5270,1986
5271,674
5272,2771
5273,565
5274,599
5275,1318
5276,2709
5277,1285
5278,1049
5279,1624
5280,1361
5281,1442
5282,1855
5283,614
5284,831
5285,1856
5286,15
5287,1857
5288,1349
5289,1
5290,3
5291,2238
5292,1859
5293,1860
5294,1861
5295,1
5296,1862
5297,1858
5298,2
5299,1782
5300,16
5301,47
5302,559
5303,479
5304,723
5305,43
5306,480
5307,2764
5308,733
5309,1396
5310,481
5311,823
5312,482
