,partition
728,15
729,191
730,192
731,193
732,444
733,2269
734,1
735,1638
736,1000
737,1460
738,143
739,1422
740,207
741,2126
742,271
743,16
744,144
745,344
746,145
747,2524
748,924
749,1174
750,1898
751,158
752,2272
753,844
754,1447
755,24
756,2
757,1744
758,15
759,396
760,397
761,1208
762,1407
763,2227
764,239
765,398
766,1451
767,1188
768,15
769,2210
770,208
771,2570
772,15
773,15
774,2211
775,57
776,2212
777,2213
778,16
779,2
780,2214
781,2215
782,39
783,2216
784,2524
785,2525
786,2526
787,16
788,2527
789,115
790,2528
791,2529
792,254
793,2530
794,2531
795,1926
796,2821
797,2532
798,252
799,2533
800,38
801,1217
802,2379
803,2501
804,128
805,129
806,30
807,130
808,2182
809,15
810,33
811,115
812,15
813,15
814,131
815,132
816,51
817,138
818,1249
819,122
820,2342
821,558
822,329
823,138
824,1982
825,60
826,16
827,1609
828,15
829,244
830,821
831,401
832,2
833,1289
834,51
835,20
836,473
837,632
838,553
839,815
840,2604
841,15
842,110
843,474
844,1370
845,2564
846,475
847,2
848,1890
849,1437
850,631
851,36
852,15
853,1641
854,49
855,244
856,632
857,2118
858,633
859,2236
860,1436
861,1025
862,797
863,1451
864,37
865,2
866,2416
867,2417
868,2
869,2
870,2418
871,2419
872,2420
873,2421
874,126
875,2
876,81
877,345
878,1451
879,80
880,15
881,2214
882,2204
883,2080
884,2753
885,2
886,784
887,785
888,68
889,1480
890,1
891,786
892,787
893,788
894,789
895,30
896,882
897,1420
898,1333
899,42
900,125
901,1138
902,883
903,1182
904,884
905,885
906,886
907,887
908,1884
909,85
910,888
911,1995
912,585
913,2497
914,1451
915,15
916,2498
917,1598
918,2499
919,2500
920,115
921,2501
922,2502
923,196
924,2503
925,404
926,2536
927,2676
928,2354
929,445
930,446
931,447
932,814
933,448
934,37
935,2
936,1013
937,15
938,2
939,449
940,2640
941,115
942,450
943,1288
944,471
945,2741
946,783
947,76
948,2330
949,439
950,77
951,228
952,2294
953,78
954,483
955,79
956,2119
957,2387
958,168
959,80
960,510
961,511
962,1526
963,2367
964,1
965,49
966,51
967,1451
968,1506
969,965
